arquivo,L_m,nx,ny,malha_eixo_x,CL,CDi,CMy
10_plano_solo_L146.2500m_malha_104x52_h1.6875_solver.csv,146.25,104,52,104,0.41120000000000007,0.040100000000000004,0.1248
10_plano_solo_L45.0000m_malha_240x120_h1.6875_solver.csv,45.0,240,120,240,0.3338,0.0388,-0.16760000000000003
10_plano_solo_L67.5000m_malha_360x180_h1.6875_solver.csv,67.5,360,180,360,0.35019999999999996,0.0387,-0.16719999999999996
11_plano_solo_L146.2500m_malha_156x78_h1.6875_solver.csv,146.25,156,78,156,0.4079,0.04000000000000001,0.16920000000000002
12_plano_solo_L146.2500m_malha_208x104_h1.6875_solver.csv,146.25,208,104,208,0.4057,0.04000000000000001,0.19090000000000001
13_plano_solo_L146.2500m_malha_260x130_h1.6875_solver.csv,146.25,260,130,260,0.4036,0.0398,0.20170000000000002
14_plano_solo_L146.2500m_malha_312x156_h1.6875_solver.csv,146.25,312,156,312,0.40280000000000005,0.0399,0.2209
15_plano_solo_L146.2500m_malha_364x182_h1.6875_solver.csv,146.25,364,182,364,0.40230000000000005,0.0399,0.2401
16_plano_solo_L146.2500m_malha_416x208_h1.6875_solver.csv,146.25,416,208,416,0.40180000000000005,0.0399,0.2604
17_plano_solo_L168.7500m_malha_60x30_h1.6875_solver.csv,168.75,60,30,60,0.4339,0.04000000000000001,0.1768
18_plano_solo_L168.7500m_malha_120x60_h1.6875_solver.csv,168.75,120,60,120,0.42640000000000006,0.04000000000000001,0.322
19_plano_solo_L168.7500m_malha_180x90_h1.6875_solver.csv,168.75,180,90,180,0.42260000000000003,0.04000000000000001,0.37929999999999997
1_plano_solo_L101.2500m_malha_36x18_h1.6875_solver.csv,101.25,36,18,36,0.38139999999999996,0.0388,-0.16909999999999997
1_plano_solo_L112.5000m_malha_40x20_h1.6875_solver.csv,112.5,40,20,40,0.3892,0.038599999999999995,-0.1397
1_plano_solo_L135.0000m_malha_48x24_h1.6875_solver.csv,135.0,48,24,48,0.40850000000000003,0.040100000000000004,-0.047699999999999985
1_plano_solo_L16.8750m_malha_6x3_h1.6875_solver.csv,16.875,6,3,6,0.3118000000000001,0.03900000000000001,-0.068
1_plano_solo_L45.0000m_malha_16x8_h1.6875_solver.csv,45.0,16,8,16,0.32460000000000006,0.0386,-0.1479
1_plano_solo_L67.5000m_malha_192x96_h1.6875_solver.csv,67.5,192,96,192,0.35019999999999996,0.0386,-0.16699999999999998
1_plano_solo_L67.5000m_malha_24x12_h1.6875_solver.csv,67.5,24,12,24,0.3495,0.0388,-0.1884
20_plano_solo_L168.7500m_malha_240x120_h1.6875_solver.csv,168.75,240,120,240,0.4209,0.0391,0.4301
21_plano_solo_L168.7500m_malha_300x150_h1.6875_solver.csv,168.75,300,150,300,0.4189,0.0391,0.452
22_plano_solo_L168.7500m_malha_360x180_h1.6875_solver.csv,168.75,360,180,360,0.4179,0.0391,0.4792
23_plano_solo_L168.7500m_malha_420x210_h1.6875_solver.csv,168.75,420,210,420,0.4172,0.0389,0.5105
24_plano_solo_L168.7500m_malha_480x240_h1.6875_solver.csv,168.75,480,240,480,0.4167,0.0389,0.5408
2_plano_solo_L101.2500m_malha_72x36_h1.6875_solver.csv,101.25,72,36,72,0.3788,0.0388,-0.123
2_plano_solo_L112.5000m_malha_80x40_h1.6875_solver.csv,112.5,80,40,80,0.38580000000000003,0.038599999999999995,-0.07999999999999999
2_plano_solo_L135.0000m_malha_96x48_h1.6875_solver.csv,135.0,96,48,96,0.4033,0.040100000000000004,0.0456
2_plano_solo_L16.8750m_malha_12x6_h1.6875_solver.csv,16.875,12,6,12,0.3197,0.038900000000000004,-0.0738
2_plano_solo_L45.0000m_malha_32x16_h1.6875_solver.csv,45.0,32,16,32,0.3288,0.0386,-0.15429999999999996
2_plano_solo_L67.5000m_malha_384x192_h1.6875_solver.csv,67.5,384,192,384,0.35019999999999996,0.0386,-0.1669
2_plano_solo_L67.5000m_malha_48x24_h1.6875_solver.csv,67.5,48,24,48,0.3506,0.0387,-0.1784
3_plano_solo_L101.2500m_malha_108x54_h1.6875_solver.csv,101.25,108,54,108,0.3772,0.0388,-0.1032
3_plano_solo_L112.5000m_malha_120x60_h1.6875_solver.csv,112.5,120,60,120,0.3839,0.0387,-0.054000000000000006
3_plano_solo_L135.0000m_malha_144x72_h1.6875_solver.csv,135.0,144,72,144,0.40020000000000006,0.040100000000000004,0.08399999999999999
3_plano_solo_L16.8750m_malha_18x9_h1.6875_solver.csv,16.875,18,9,18,0.3225,0.038900000000000004,-0.07679999999999998
3_plano_solo_L45.0000m_malha_48x24_h1.6875_solver.csv,45.0,48,24,48,0.3302,0.0387,-0.1574
3_plano_solo_L67.5000m_malha_72x36_h1.6875_solver.csv,67.5,72,36,72,0.3506,0.0387,-0.1741
4_plano_solo_L101.2500m_malha_144x72_h1.6875_solver.csv,101.25,144,72,144,0.3761,0.0388,-0.0915
4_plano_solo_L112.5000m_malha_160x80_h1.6875_solver.csv,112.5,160,80,160,0.38239999999999996,0.03849999999999999,-0.04050000000000001
4_plano_solo_L135.0000m_malha_192x96_h1.6875_solver.csv,135.0,192,96,192,0.39830000000000004,0.04,0.1028
4_plano_solo_L16.8750m_malha_24x12_h1.6875_solver.csv,16.875,24,12,24,0.3237,0.038900000000000004,-0.0786
4_plano_solo_L45.0000m_malha_64x32_h1.6875_solver.csv,45.0,64,32,64,0.331,0.0385,-0.1593
4_plano_solo_L67.5000m_malha_96x48_h1.6875_solver.csv,67.5,96,48,96,0.35050000000000003,0.0387,-0.17159999999999997
5_plano_solo_L101.2500m_malha_180x90_h1.6875_solver.csv,101.25,180,90,180,0.3753000000000001,0.0388,-0.08419999999999998
5_plano_solo_L112.5000m_malha_200x100_h1.6875_solver.csv,112.5,200,100,200,0.38139999999999996,0.03849999999999999,-0.03
5_plano_solo_L135.0000m_malha_240x120_h1.6875_solver.csv,135.0,240,120,240,0.3971,0.0388,0.0983
5_plano_solo_L16.8750m_malha_30x15_h1.6875_solver.csv,16.875,30,15,30,0.3246,0.038900000000000004,-0.0799
5_plano_solo_L45.0000m_malha_80x40_h1.6875_solver.csv,45.0,80,40,80,0.33140000000000003,0.0386,-0.1604
5_plano_solo_L67.5000m_malha_120x60_h1.6875_solver.csv,67.5,120,60,120,0.35019999999999996,0.0387,-0.1699
5_plano_solo_L90.0000m_malha_256x128_h1.6875_solver.csv,90.0,256,128,256,0.3662,0.0388,-0.11779999999999999
5_plano_solo_L90.0000m_malha_32x16_h1.6875_solver.csv,90.0,32,16,32,0.3712,0.0388,-0.1868
6_plano_solo_L101.2500m_malha_216x108_h1.6875_solver.csv,101.25,216,108,216,0.37440000000000007,0.0387,-0.08310000000000001
6_plano_solo_L112.5000m_malha_240x120_h1.6875_solver.csv,112.5,240,120,240,0.38049999999999995,0.03849999999999999,-0.0196
6_plano_solo_L135.0000m_malha_288x144_h1.6875_solver.csv,135.0,288,144,288,0.3964000000000001,0.0389,0.11329999999999998
6_plano_solo_L16.8750m_malha_36x18_h1.6875_solver.csv,16.875,36,18,36,0.3253,0.038900000000000004,-0.08080000000000001
6_plano_solo_L45.0000m_malha_96x48_h1.6875_solver.csv,45.0,96,48,96,0.3319,0.0386,-0.1619
6_plano_solo_L67.5000m_malha_144x72_h1.6875_solver.csv,67.5,144,72,144,0.35009999999999997,0.0386,-0.16849999999999998
6_plano_solo_L90.0000m_malha_512x256_h1.6875_solver.csv,90.0,512,256,512,0.3653,0.0389,-0.105
6_plano_solo_L90.0000m_malha_64x32_h1.6875_solver.csv,90.0,64,32,64,0.3699,0.0388,-0.1544
7_plano_solo_L101.2500m_malha_252x126_h1.6875_solver.csv,101.25,252,126,252,0.37389999999999995,0.0387,-0.0761
7_plano_solo_L112.5000m_malha_280x140_h1.6875_solver.csv,112.5,280,140,280,0.38,0.03849999999999999,-0.010299999999999995
7_plano_solo_L135.0000m_malha_336x168_h1.6875_solver.csv,135.0,336,168,336,0.39590000000000003,0.0389,0.129
7_plano_solo_L16.8750m_malha_42x21_h1.6875_solver.csv,16.875,42,21,42,0.3254,0.038900000000000004,-0.08100000000000002
7_plano_solo_L45.0000m_malha_112x56_h1.6875_solver.csv,45.0,112,56,112,0.3323,0.0386,-0.163
7_plano_solo_L67.5000m_malha_168x84_h1.6875_solver.csv,67.5,168,84,168,0.35009999999999997,0.0386,-0.16779999999999995
7_plano_solo_L90.0000m_malha_96x48_h1.6875_solver.csv,90.0,96,48,96,0.3689,0.0388,-0.14019999999999996
8_plano_solo_L101.2500m_malha_288x144_h1.6875_solver.csv,101.25,288,144,288,0.3737,0.0387,-0.07070000000000001
8_plano_solo_L112.5000m_malha_320x160_h1.6875_solver.csv,112.5,320,160,320,0.3797,0.03849999999999999,-0.0012000000000000049
8_plano_solo_L135.0000m_malha_384x192_h1.6875_solver.csv,135.0,384,192,384,0.3956,0.0389,0.1442
8_plano_solo_L16.8750m_malha_48x24_h1.6875_solver.csv,16.875,48,24,48,0.32599999999999996,0.03880000000000001,-0.0816
8_plano_solo_L45.0000m_malha_128x64_h1.6875_solver.csv,45.0,128,64,128,0.3326,0.0386,-0.164
8_plano_solo_L67.5000m_malha_192x96_h1.6875_solver.csv,67.5,192,96,192,0.35019999999999996,0.0386,-0.16699999999999998
8_plano_solo_L90.0000m_malha_128x64_h1.6875_solver.csv,90.0,128,64,128,0.368,0.0388,-0.13229999999999997
9_plano_solo_L146.2500m_malha_52x26_h1.6875_solver.csv,146.25,52,26,52,0.41719999999999996,0.040100000000000004,0.017100000000000008
9_plano_solo_L45.0000m_malha_160x80_h1.6875_solver.csv,45.0,160,80,160,0.33299999999999996,0.0386,-0.1656
9_plano_solo_L67.5000m_malha_240x120_h1.6875_solver.csv,67.5,240,120,240,0.35019999999999996,0.0387,-0.1678
